Device: cuda  |  dtype: torch.float32
step  40600 | L_energy=-3.7232e-01 | lam=0.000 | lr=1.76e-04 | 2707.5s
step  40800 | L_energy=-6.2267e-01 | lam=0.000 | lr=1.73e-04 | 2720.9s
step  41000 | L_energy=-5.3159e-01 | lam=0.000 | lr=1.70e-04 | 2734.3s
step  41200 | L_energy=-4.0072e-01 | lam=0.000 | lr=1.67e-04 | 2747.7s
step  41400 | L_energy=-6.2785e-01 | lam=0.000 | lr=1.64e-04 | 2761.1s
step  41600 | L_energy=-7.4934e-01 | lam=0.000 | lr=1.61e-04 | 2774.5s
step  41800 | L_energy=-7.3388e-01 | lam=0.000 | lr=1.58e-04 | 2787.9s
step  42000 | L_energy=-4.4073e-01 | lam=0.000 | lr=1.56e-04 | 2801.3s
step  42200 | L_energy=-5.9619e-01 | lam=0.000 | lr=1.53e-04 | 2814.7s
step  42400 | L_energy=-7.3702e-01 | lam=0.000 | lr=1.50e-04 | 2828.0s
step  42600 | L_energy=-8.0473e-01 | lam=0.000 | lr=1.48e-04 | 2841.4s
step  42800 | L_energy=-3.9986e-01 | lam=0.000 | lr=1.45e-04 | 2854.8s
step  43000 | L_energy=-6.0968e-01 | lam=0.000 | lr=1.43e-04 | 2868.1s
step  43200 | L_energy=-6.7635e-01 | lam=0.000 | lr=1.40e-04 | 2881.5s
step  43400 | L_energy=-5.5255e-01 | lam=0.000 | lr=1.38e-04 | 2894.8s
step  43600 | L_energy=-6.8784e-01 | lam=0.000 | lr=1.36e-04 | 2908.1s
step  43800 | L_energy=-5.3087e-01 | lam=0.000 | lr=1.34e-04 | 2921.5s
step  44000 | L_energy=-5.7579e-01 | lam=0.000 | lr=1.32e-04 | 2934.8s
step  44200 | L_energy=-6.1481e-01 | lam=0.000 | lr=1.30e-04 | 2948.1s
step  44400 | L_energy=-6.5389e-01 | lam=0.000 | lr=1.28e-04 | 2961.5s
step  44600 | L_energy=-6.4907e-01 | lam=0.000 | lr=1.26e-04 | 2974.8s
step  44800 | L_energy=-7.2952e-01 | lam=0.000 | lr=1.24e-04 | 2988.2s
step  45000 | L_energy=-4.7623e-01 | lam=0.000 | lr=1.22e-04 | 3001.6s
step  45200 | L_energy=-4.6081e-01 | lam=0.000 | lr=1.20e-04 | 3015.0s
step  45400 | L_energy=-4.5554e-01 | lam=0.000 | lr=1.19e-04 | 3028.4s
step  45600 | L_energy=-6.6290e-01 | lam=0.000 | lr=1.17e-04 | 3041.9s
step  45800 | L_energy=-9.0728e-01 | lam=0.000 | lr=1.16e-04 | 3055.3s
step  46000 | L_energy=-5.8452e-01 | lam=0.000 | lr=1.14e-04 | 3068.8s
step  46200 | L_energy=-6.5010e-01 | lam=0.000 | lr=1.13e-04 | 3082.3s
step  46400 | L_energy=-5.3892e-01 | lam=0.000 | lr=1.11e-04 | 3095.7s
step  46600 | L_energy=-4.3305e-01 | lam=0.000 | lr=1.10e-04 | 3109.2s
step  46800 | L_energy=-6.6870e-01 | lam=0.000 | lr=1.09e-04 | 3122.6s
step  47000 | L_energy=-5.9102e-01 | lam=0.000 | lr=1.08e-04 | 3136.0s
step  47200 | L_energy=-3.9888e-01 | lam=0.000 | lr=1.07e-04 | 3149.4s
step  47400 | L_energy=-5.5731e-01 | lam=0.000 | lr=1.06e-04 | 3162.8s
step  47600 | L_energy=-6.9706e-01 | lam=0.000 | lr=1.05e-04 | 3176.2s
step  47800 | L_energy=-5.1821e-01 | lam=0.000 | lr=1.04e-04 | 3189.6s
step  48000 | L_energy=-5.9158e-01 | lam=0.000 | lr=1.04e-04 | 3203.0s
step  48200 | L_energy=-6.1795e-01 | lam=0.000 | lr=1.03e-04 | 3216.4s
step  48400 | L_energy=-7.9084e-01 | lam=0.000 | lr=1.02e-04 | 3229.7s
step  48600 | L_energy=-4.9960e-01 | lam=0.000 | lr=1.02e-04 | 3243.0s
step  48800 | L_energy=-5.9789e-01 | lam=0.000 | lr=1.01e-04 | 3256.4s
step  49000 | L_energy=-3.6316e-01 | lam=0.000 | lr=1.01e-04 | 3269.7s
step  49200 | L_energy=-6.2790e-01 | lam=0.000 | lr=1.01e-04 | 3283.1s
step  49400 | L_energy=-5.0476e-01 | lam=0.000 | lr=1.00e-04 | 3296.4s
step  49600 | L_energy=-7.8260e-01 | lam=0.000 | lr=1.00e-04 | 3309.8s
step  49800 | L_energy=-7.3221e-01 | lam=0.000 | lr=1.00e-04 | 3323.1s
Training complete. Final checkpoint: checkpoints/ckpt_final.pt
Loss curve saved to loss_curve.png
